Abbreviations,Abréviation
Abortion,Avortement
Access to education,Accès à l'éducation
Access to information,Accès à l'information
Accessibility,Accessibilité
Accessibility for persons with disabilities,Accessibilité aux personnes handicapées
Accessible transport,Transport accessible
Accident prevention,Prévention des accidents
Accidents,Accident
Accountability,Imputabilité
Accounting,Comptabilité
Accounting standards,Normes comptables
Acculturation,Acculturation
Acid rain,Pluies acides
Acquisitions (Businesses),Acquisition (Entreprise)
Acquittal,Acquittement
Actuarial science,Actuariat
Addiction,Dépendance
Adjustment,Adaptation
Administrative data,Données administratives
Administrative law,Droit administratif
Administrative services,Services administratifs
Administrative writing,Rédaction administrative
Adolescence,Adolescence
Adolescents,Adolescent
Adoption,Adoption
Adoptive parents,Parent adoptif
Adulthood,Âge adulte
Adults,Adulte
Advertising,Publicité
Advisory committees,Comité consultatif
Advisory services,Services consultatifs
Advocacy,Défense des droits
Aerial photography,Photographie aérienne
Aeronautical maps,Carte aéronautique
Aerospace industry,Industrie de l'aérospatiale
Affirmative action,Action positive
Afforestation,Boisement
Agenda,Ordre du jour
Aging,Vieillissement
Agreements,Accord
Agri-food industry,Industrie agro-alimentaire
Agri-food products,Produit agro-alimentaire
Agricultural assistance,Aide à l'agriculture
Agricultural economics,Économie agricole
Agricultural fairs,Foire agricole
Agricultural policy,Politique agricole
Agricultural technology,Technologie agricole
Agricultural workers,Travailleur agricole
Agriculture,Agriculture
Agriculture statistics,Statistiques de l'agriculture
Aid programs,Programme d'aide
AIDS (disease),Sida
Air,Air
Air conditioning,Climatisation
Air pollution,Pollution atmosphérique
Air quality,Qualité de l'air
Air safety,Sécurité aérienne
Air temperature,Température de l'air
Air transport,Transport aérien
Air transport industry,Industrie du transport aérien
Aircraft,Aéronef
Aircraft accidents,Accident d'aviation
Aircraft anti-icing,Antigivrage des aéronefs
Aircraft de-icing,Dégivrage des aéronefs
Airlines,Compagnie aérienne
Airplanes,Avion
Airport authorities,Administration aéroportuaire
Airports,Aéroport
Alcohol consumption,Consommation d'alcool
Alcohol education,Prévention de l'alcoolisme
Alcoholic beverages,Boisson alcoolisée
Alcoholism,Alcoolisme
Allergies,Allergie
Allied forces,Forces alliées
Allotments,Allocation de crédits
Allowances,Allocation
Almanacs,Almanach
